IDInstituicao,NomeInstituicao,SiglaInstituicao,NomeMantenedora,RedeEnsino,TipoDeCategoriaAdministrativa,TIpoOrganizacaoAcademica,Endereco,NumEndereco,BairroEndereco,ComplementoEndereco,CEP
126,CENTRO UNIVERSITÁRIO UNI-BAN,UNI-BAN,UNIAO BANDEIRANTE DE EDUCACAO E CULTURA S.A.,Privada,4,2,Rua Maria Cândida,1789,Vila Guilherme,Nova Sede UNI-BAN,2071013.0
127,FACULDADE DE ENGENHARIA E AGRIMENSURA DE PIRASSUNUNGA - FEAP,FEAP,ASSOCIACAO UNIFICADA PIRASSUNUGUENSE ENSINO SUPERIOR,Privada,5,3,Avenida dos Acadêmicos,1,Posto de Monta,,13630974.0
128,FACULDADES INTEGRADAS CAMPOS SALLES,FICS,ASSOCIACAO EDUCATIVA CAMPOS SALLES,Privada,5,3,Rua Nossa Senhora da Lapa,284,Lapa,,5072000.0
129,CENTRO UNIVERSITÁRIO DAS FACULDADES INTEGRADAS DE OURINHOS,Unifio,FUNDACAO EDUCACIONAL MIGUEL MOFARREJ,Privada,5,2,"Rodovia BR-153, Km 399 + 420 m",s/n,Água do Cateto,,19909100.0
130,UNIVERSIDADE METODISTA DE PIRACICABA,UNIMEP,INSTITUTO EDUCACIONAL PIRACICABANO DA IGREJA METODISTA,Privada,5,1,Rodovia do Açúcar,s/n,Taquaral,CAMPUS  - PIRACICABA,13400911.0
131,CENTRO UNIVERSITÁRIO ESPÍRITO-SANTENSE/FAESA,,FUNDACAO DE ASSISTENCIA E EDUCACAO - FAESA,Privada,5,2,Rua Anselmo Serrat,199,Ilha de Monte Belo,,29053250.0
132,FACULDADE FACCAT,FACCAT,ORGANIZACAO EDUCACIONAL ARTUR FERNANDES LTDA,Privada,4,3,Rua Cherentes,36,Centro,Térreo e  Superior,17600090.0
133,FACULDADE DE TUPÃ,,UNIESP S.A,Privada,4,3,Rua Mandaguaris,274,Centro,Térreo,17600060.0
134,UNIVERSIDADE DO OESTE PAULISTA,UNOESTE,ASSOCIACAO PRUDENTINA DE EDUCACAO E CULTURA APEC,Privada,5,1,Rua José Bongiovani,700,Cidade Universitária,Campus Universitário,19050900.0
135,UNIVERSIDADE DO VALE DO PARAÍBA,UNIVAP,FUNDACAO VALEPARAIBANA DE ENSINO,Privada,5,1,"Av. Shishima Hifumi, nº 2911, Bairro Urbanova",2911,Urbanova,,12244000.0
136,FACULDADE DE DIREITO DE SOROCABA,FADI,FUNDACAO EDUCACIONAL SOROCABANA FAC DIREITO DE SOROCABA,Privada,5,3,Rua Doutora Ursulina Lopes Torres,123,Vergueiro,,18030103.0
137,CENTRO UNIVERSITÁRIO AUGUSTO MOTTA,UNISUAM,SOCIEDADE UNIFICADA DE ENSINO AUGUSTO MOTTA,Privada,5,2,Avenida Paris,84,Bonsucesso,,21041020.0
138,FACULDADES INTEGRADAS SIMONSEN,FIS,ORGANIZACAO BRASILEIRA DE CULTURA E EDUCACAO ORBRACE,Privada,5,3,Rua Ibitiuva,151,Padre Miguel,,21715400.0
139,FACULDADES INTEGRADAS HÉLIO ALONSO,FACHA,ORGANIZACAO HELIO ALONSO DE EDUCACAO E CULTURA OHAEC,Privada,5,3,Rua Muniz Barreto,51,Botafogo,,22251090.0
140,FACULDADE DE MEDICINA DE ITAJUBÁ,FMIT,CENTRO DE CIENCIAS EM SAUDE DE ITAJUBA S.A,Privada,5,3,AV.  RENNO JUNIOR,368,SÃO VICENTE,,37502138.0
141,FACULDADE DE DIREITO DO VALE DO RIO DOCE,FADIVALE,SOCIEDADE SIMPLES CULTURA E EDUCACAO,Privada,5,3,Rua Artur Bernardes,533,Centro,Prédio,35010090.0
142,FACULDADE TRÊS DE MAIO,SETREM,SOCIEDADE EDUCACIONAL TRES DE MAIO,Privada,5,3,Avenda Santa Rosa,2.405,Centro,,98910000.0
143,UNIVERSIDADE DE SANTA CRUZ DO SUL,UNISC,ASSOCIACAO PRO ENSINO EM SANTA CRUZ DO SUL,Privada,5,1,Avenida Independência,2293,Universitário,,96815900.0
144,Centro Universitário da Região da Campanha,,FUNDACAO ATTILA TABORDA,Privada,5,2,Avenida Tupy Silveira,2099,Centro,CAMPUS - BAGÉ - CENT,96400110.0
145,UNIVERSIDADE PITÁGORAS UNOPAR,,EDITORA E DISTRIBUIDORA EDUCACIONAL S/A,Privada,4,1,Avenida Paris,675,Parque Residencial João Piza,,86041120.0
146,FACULDADE DE JANDAIA DO SUL,FAFIJAN,FUNDACAO EDUCACIONAL JANDAIA DO SUL,Privada,5,3,Rua Dr. João Maximiano,426,Centro,Térreo,86900000.0
147,FACULDADE DIVINÓPOLIS,FACED,SOCIEDADE DE EDUCACAO SUPERIOR E CULTURA - SOCIESC S.A.,Privada,4,3,Praça do Mercado,191,Centro,,35500048.0
148,FACULDADE DE MEDICINA DE BARBACENA,FAME,FUNDACAO JOSE BONIFACIO LAFAYETTE DE ANDRADA,Privada,5,3,Praça Presidente Antônio Carlos,8,São Sebastião,,36202336.0
149,CENTRO UNIVERSITÁRIO PRESIDENTE ANTÔNIO CARLOS,UNIPAC,FUNDACAO PRESIDENTE ANTONIO CARLOS,Privada,5,2,Rodovia BR-338,s/n,Colônia Rodrigo Silva,"- do km 10,000 ao km",36201143.0
150,UNIVERSIDADE NOVE DE JULHO,UNINOVE,ASSOCIACAO EDUCACIONAL NOVE DE JULHO,Privada,5,1,Rua Vergueiro,235,Liberdade,,1504001.0
151,UNIVERSIDADE BRASIL,,UNIVERSIDADE BRASIL,Privada,5,1,Rua Carolina Fonseca,584,ITAQUERA,,8230030.0
152,FACULDADE UNIDAS DE TATUI,FDT,CENTRO DE ENSINO TATUIENSE SOCIEDADE SIMPLES LTDA.,Privada,5,3,Rua Oracy Gomes,665,Centro,Térreo,18270600.0
153,UNIVERSIDADE PAULISTA,UNIP,ASSUPERO ENSINO SUPERIOR LTDA.,Privada,4,1,Avenida Torres de Oliveira,330,Jaguaré,,5347020.0
154,UNIVERSIDADE IGUAÇU,UNIG,ASSOCIACAO DE ENSINO SUPERIOR DE NOVA IGUACU,Privada,5,1,Avenida Abílio Augusto Távora,2134,Jardim Nova Era,,26275580.0
155,FACULDADE MACHADO SOBRINHO,FMS,FUNDACAO EDUCACIONAL MACHADO SOBRINHO,Privada,5,3,Rua Pedro Celeste,s/n,Cruzeiro do Sul,,36030140.0
156,CENTRO DE ENSINO SUPERIOR DE JUIZ DE FORA,CES/JF,ASSOCIACAO PROPAGADORA ESDEVA,Privada,5,3,Rua Halfeld,1179,Centro,Campus Academia de C,36016000.0
157,PONTIFÍCIA UNIVERSIDADE CATÓLICA DE MINAS GERAIS,PUC MINAS,SOCIEDADE MINEIRA DE CULTURA,Privada,5,1,Avenida Dom José Gaspar,500,Coração Eucarístico,,30535901.0
158,FACULDADE DE JOÃO PESSOA (SANTA EMÍLIA DO RODAT),,UNIESP S.A,Privada,5,3,Avenida Presidente Epitácio Pessoa,494 / 514,Torre,SEDE,58040000.0
159,CENTRO UNIVERSITÁRIO NEWTON PAIVA,NEWTON PAIVA,INSTITUTO CULTURAL NEWTON PAIVA FERREIRA LTDA,Privada,4,2,Rua José Cláudio de Rezende,80,Escoril,Reitoria,30494230.0
160,CENTRO UNIVERSITÁRIO UNA,UNA,BRASIL EDUCACAO S/A,Privada,4,2,Rua dos Aimorés,1.451,Lourdes,Campus Sede Aimorés,30140071.0
161,ESCOLA DE ENGENHARIA KENNEDY,EEK,FUNDACAO EDUCACIONAL MINAS GERAIS,Privada,5,3,Rua José Dias Vieira,46,Visconde do Rio Branco,,31535040.0
162,INSTITUTO SUPERIOR DE CIÊNCIAS APLICADAS - ISCA,ISCA,ASSOCIACAO LIMEIRENSE DE EDUCACAO ALIE,Privada,5,3,Rodovia Deputado Laércio Corte,3000,Chácara Vista da Graminha,CAIXA POSTAL 98,13482383.0
163,CENTRO UNIVERSITÁRIO DE BELO HORIZONTE,UNI-BH,IEDUC - INSTITUTO DE EDUCACAO E CULTURA S/A,Privada,4,2,Avenida Prof. Mário Werneck,1685,Estoril,Bloco B 1,30455610.0
164,FACULDADE DE CIÊNCIAS MÉDICAS DE MINAS GERAIS,FCMMG,FUNDACAO EDUCACIONAL LUCAS MACHADO FELUMA,Privada,5,3,Alameda Ezequiel Dias,275,Centro,,30130110.0
165,CENTRO UNIVERSITÁRIO DE JOÃO PESSOA,UNIPÊ,IPE EDUCACIONAL LTDA,Privada,4,2,BR 230 - Km 22,s/n,Água Fria,Campus do UNIPÊ,58053000.0
166,FACULDADE EVANGÉLICA MACKENZIE DO PARANÁ,FEMPAR,INSTITUTO PRESBITERIANO MACKENZIE,Privada,5,3,Rua Padre Anchieta,2770,Bigorrilho,,80730000.0
167,UNIVERSIDADE TUIUTI DO PARANÁ,UTP,SET SOCIEDADE CIVIL EDUCACIONAL TUIUTI LIMITADA,Privada,4,1,Rua Sydnei Antonio Rangel Santos,245,Santo Inácio,,82010330.0
168,CENTRO UNIVERSITÁRIO PAULISTANO,UNIPAULISTANA,ORGANIZACAO PAULISTA DE EDUCACAO E CULTURA,Privada,5,2,Rua Madre Cabrini,38,Vila Mariana,,4020001.0
169,Faculdade Paulista de Serviço Social de São Caetano do Sul,FAPSS,AESP - ASSOCIACAO EDUCACIONAL DE SAO PAULO,Privada,5,3,Avenida Paraíso,600,Vila Gerti,,9571200.0
170,FACULDADE PAULISTA DE SERVIÇO SOCIAL,FAPSS-SP.,BWS - NUCLEO DE ENSINO SUPERIOR EM CIENCIAS HUMANAS E DA SAUDE S/S LTDA,Privada,4,3,Rua Lopes Chaves,273,Barra Funda,275,1154010.0
171,FACULDADE MOZARTEUM DE SÃO PAULO,FAMOSP,SOCIEDADE DE ENSINO SUPERIOR MOZARTEUM,Privada,5,3,Rua Nova dos Portugueses,365,Santa Terezinha,,2462080.0
172,UNIVERSIDADE ESTADUAL DE MONTES CLAROS,UNIMONTES,UNIVERSIDADE ESTADUAL DE MONTES CLAROS,Pública,2,1,Campus Universitário Prof. Darcy Ribeiro - Avenida Rui Braga,s/n,Vila Mauricéia,Caixa Postal 126,39401089.0
173,FACULDADE DE EDUCAÇÃO FÍSICA DA ASSOCIAÇÃO CRISTÃ DE MOÇOS DE SOROCABA,FEFISO,ASSOCIACAO CRISTA DE MOCOS DE SOROCABA,Privada,5,3,Rua da Penha,680,Centro,,18010002.0
174,FACULDADE PAULISTA DE ARTES,FPA,IBDE INSTITUTO BRASILEIRO DE DESENV.EMPRESARIAL,Privada,5,3,Av. Brigadeiro Luis Antonio,1224,BELA VISTA,,1318000.0
175,FACULDADE DE MÚSICA CARLOS GOMES,FMCG,UNIESP S.A,Privada,4,3,Rua Conselheiro Crispiniano,116/120/14,Centro,,5794330.0
176,FACULDADE DE BIBLIOTECONOMIA E CIÊNCIA DA INFORMAÇÃO,FABCI,FUNDACAO ESCOLA DE SOCIOLOGIA E POLITICA DE SAO PAULO,Privada,5,3,Rua Dr. Cesário Mota Júnior,262,Vila Buarque,,1221020.0
177,ESCOLA DE SOCIOLOGIA E POLÍTICA DE SÃO PAULO,ESP,FUNDACAO ESCOLA DE SOCIOLOGIA E POLITICA DE SAO PAULO,Privada,5,3,Rua General Jardim,522,Vila Buarque,1º Andar,1223010.0
178,CENTRO UNIVERSITÁRIO DAS FACULDADES METROPOLITANAS UNIDAS,FMU,FACULDADES METROPOLITANAS UNIDAS EDUCACIONAIS LTDA.,Privada,5,2,Avenida Santo Amaro,1239,Vila Nova Conceição,- de 1233 a 1721 - l,4505002.0
179,UNIVERSIDADE SANTO AMARO,UNISA,OBRAS SOCIAIS E EDUCACIONAIS DE LUZ,Privada,5,1,Rua Enéas de Siqueira Neto,340,Jardim das Imbuias,,4829300.0
180,CENTRO UNIVERSITÁRIO ANHANGUERA DE SÃO PAULO,,ANHANGUERA EDUCACIONAL PARTICIPACOES S/A,Privada,4,2,Rua Afonso Celso,235,Vila Mariana,Vila Mariana,4119901.0
181,UNIVERSIDADE DA AMAZÔNIA,UNAMA,INSTITUTO CAMPINENSE DE ENSINO SUPERIOR LTDA,Privada,4,1,Avenida Alcindo Cacela,287,Umarizal,Bloco C - Térreo,66060902.0
182,CENTRO UNIVERSITÁRIO DE ANÁPOLIS,UNIEVANGÉLICA,ASSOCIACAO EDUCATIVA EVANGELICA,Privada,5,2,Avenida Universitária,s/n,Cidade Universitária,"Km 3,5",75083515.0
183,UNIVERSIDADE SALVADOR,UNIFACS,FACS SERVICOS EDUCACIONAIS LTDA,Privada,4,1,Avenida Tancredo Neves,2131,Caminho das Árvores,,41820020.0
184,CENTRO UNIVERSITÁRIO DE GOIÁS,UNI-ANHANGÜERA,SOCIEDADE ANHANGUERA DE ENSINO LTDA,Privada,4,2,Avenida João Cândido de Oliveira,115,Cidade Jardim,,74423115.0
185,UNIVERSIDADE CATÓLICA DOM BOSCO,UCDB,MISSAO SALESIANA DE MATO GROSSO,Privada,5,1,Avenida Tamandaré,6000,Jardim Seminário,,79117900.0
186,Centro Universitário Ruy Barbosa Wyden,UniRuy Wyden,ABEP - ACADEMIA BAIANA DE ENSINO PESQUISA E EXTENSAO LTDA,Privada,4,2,Rua Theodomiro Baptista,422,Rio Vermelho,Morro das Vivendas,41940320.0
187,UNIVERSIDADE TIRADENTES,UNIT,SOCIEDADE DE EDUCACAO TIRADENTES LTDA,Privada,4,1,Avenida Murilo Dantas,300,Farolândia,Campus Aracaju Farol,49032490.0
188,ESCOLA DE ENGENHARIA DE AGRIMENSURA,EEA,SOC CIVIL EDUC E DE ENGENHARIA ELETRO MEC DA BAHIA,Privada,5,3,Rua Teixeira Barros,29,Brotas,Casa,40227909.0
189,CENTRO UNIVERSITÁRIO DE BRASÍLIA,UNICEUB,CENTRO DE ENSINO UNIFICADO DE BRASILIA CEUB,Privada,5,2,Eqn 707 907 Conjunto C,S/N,Asa Norte,Campus do CEUB,70790075.0
190,UNIVERSIDADE CATÓLICA DE BRASÍLIA,UCB,UNIAO BRASILEIRA DE EDUCACAO CATOLICA,Privada,5,1,"QS 07, EPCT",LOTE 01,Areal (Águas Claras),Universidade Católic,71966900.0
191,FACULDADES INTEGRADAS DA UPIS,UPIS,UNIAO PIONEIRA DE INTEGRACAO SOCIAL,Privada,5,3,SEPS EQ 712/912,S/N,ASA SUL,"CONJUNTO ""A""",70390125.0
192,FOCCA - FACULDADE DE OLINDA,FOCCA,ASSOCIACAO OLINDENSE DOM VITAL DE ENSINO SUPERIOR,Privada,5,3,Rua do Bonfim,37,Carmo,SEDE - OLINDA - CARM,53120090.0
193,UNIVERSIDADE DE PERNAMBUCO,UPE,FUNDACAO UNIVERSIDADE DE PERNAMBUCO,Pública,2,1,Avenida Agamenon Magalhães,S/N,Santo Amaro,,50100010.0
194,FACULDADE DE CIÊNCIAS HUMANAS ESUDA,FCHE,ASSOCIACAO RECIFENSE DE EDUCACAO E CULTURA,Privada,5,3,Rua Almeida Cunha,100,Santo Amaro,,50050480.0
195,FACULDADE DE CIÊNCIAS MÉDICAS DA SANTA CASA SÃO PAULO,FCMSCSP,FUNDACAO ARNALDO VIEIRA DE CARVALHO,Privada,5,3,RUA DOUTOR CESÁRIO MOTA JÚNIOR,61,VILA BUARQUE,11º ANDAR,1221020.0
196,FACULDADE DE SÃO PAULO,FASP,UNIESP S.A,Privada,4,3,Rua Conselheiro Crispiniano,116/120,Centro,,5794330.0
197,UNIVERSIDADE CIDADE DE SÃO PAULO,UNICID,SECID - SOCIEDADE EDUCACIONAL CIDADE DE SAO PAULO LTDA,Privada,4,1,Rua Cesário Galero,448/475,Tatuapé,474,3071000.0
198,UNIVERSIDADE DE MARÍLIA,UNIMAR,ASSOCIACAO DE ENSINO DE MARILIA LTDA,Privada,4,1,Avenida Higyno Muzzi Filho,1.001,Campus Universitario,Bloco I,17525902.0
199,UNIVERSIDADE REGIONAL INTEGRADA DO ALTO URUGUAI E DAS MISSÕES,URI,FUNDACAO REGIONAL INTEGRADA,Privada,5,1,"Avenida Avenida Sete Setembro, 1621(URI Campos Erechim)",1621,Fátima,,99709910.0
200,UNIVERSIDADE FRANCISCANA,UFN,SOC CARIT E LIT SAO FRANCISCO DE ASSIS ZONA NORTE,Privada,5,1,Rua dos Andradas,1.614,Centro,,97010032.0
201,CENTRO UNIVERSITÁRIO FILADÉLFIA,UNIFIL,INSTITUTO FILADELFIA DE LONDRINA,Privada,5,2,Avenida Juscelino Kubitscheck,1626,Centro,,86020000.0
202,FACULDADE DE MEDICINA DE MARÍLIA,FAMEMA,FACULDADE DE MEDICINA DE MARILIA,Pública,2,3,Avenida Monte Carmelo,800,FRAGATA C,,17519030.0
203,FACULDADE PARANAENSE,FACCAR,ASSOCIACAO ROLANDENSE DE ENSINO E CULTURA,Privada,5,3,Rua Dom Pedro II,400,Jardim Horácio Cabral,,86600000.0
204,FACULDADE SANTA MARCELINA,FASM,ASSOCIACAO SANTA MARCELINA,Privada,5,3,Rua Doutor Emílio Ribas,89,Perdizes,,5006020.0
205,FACULDADE SANTA MARCELINA MURIAÉ - FASM,FASM,ASSOCIACAO SANTA MARCELINA,Privada,5,3,Praça Praça Annina Bisegna,40,Centro,,36880083.0
206,UNIVERSIDADE PARANAENSE,UNIPAR,ASSOCIACAO PARANAENSE DE ENSINO E CULTURA,Privada,5,1,Praça Mascarenha de Moraes,4282,Zona III,,87502210.0
207,FACULDADE DE FILOSOFIA CIÊNCIAS E LETRAS DE ITUVERAVA,FFCL,FUNDACAO EDUCACIONAL DE ITUVERAVA,Privada,5,3,Rua Coronel Flauzino Barbosa Sandoval,1259,Cidade Universitária,,14500000.0
208,FACULDADE DOUTOR FRANCISCO MAEDA,FAFRAM,FUNDACAO EDUCACIONAL DE ITUVERAVA,Privada,5,3,Rodovia Jerônimo Nunes Macêdo Km 01,s/n,Aeroporto,Campus Agronomia,14500000.0
209,FACULDADE DE DIREITO DE ITÚ,FADITU,OSAC - ORGANIZACAO SOROCABANA DE ASSISTENCIA E CULTURA LTDA.,Privada,4,3,Avenida Tiradentes,1.817,Parque Industrial,,13309640.0
210,UNIVERSIDADE DO CONTESTADO,UNC,FUNDACAO UNIVERSIDADE DO CONTESTADO - FUNC,Privada,5,1,Av. Presidente Nereu Ramos,1071,Jardim do Moinho,,89300000.0
211,UNIVERSIDADE DE CRUZ ALTA,UNICRUZ,FUNDACAO UNIVERSIDADE DE CRUZ ALTA,Privada,5,1,Rua Andrade Neves,308,Centro,,98025810.0
212,CENTRO UNIVERSITÁRIO RITTER DOS REIS,UNIRITTER,SOCIEDADE DE EDUCACAO RITTER DOS REIS LTDA.,Privada,4,2,Rua Orfanotrófio,555,Alto Teresópolis,,90840440.0
213,UNIVERSIDADE LUTERANA DO BRASIL,ULBRA,AELBRA EDUCACAO SUPERIOR - GRADUACAO E POS-GRADUACAO S.A.,Privada,5,1,Avenida Farroupilha,8001,São José,,92425900.0
214,Centro Universitário São Lucas Ji-Paraná,UniSL,CENTRO DE ENSINO SANTO ANTONIOX LTDA,Privada,4,2,Avenida Engenheiro Manfredo Barata Almeida da Fonseca,762,Jardim Aurélio Bernardi,,76907524.0
215,CENTRO UNIVERSITÁRIO LUTERANO DE SANTARÉM,CEULS,AELBRA EDUCACAO SUPERIOR - GRADUACAO E POS-GRADUACAO S.A.,Privada,5,2,AVENIDA SERGIO HENN,1787,DIAMANTINO,,68025000.0
216,CENTRO UNIVERSITÁRIO LUTERANO DE MANAUS,CEULM/ULBRA,AELBRA EDUCACAO SUPERIOR - GRADUACAO E POS-GRADUACAO S.A.,Privada,5,2,AVENIDA CARLOS DRUMMOND DE ANDRADE,1460,JAPIIM,CONJUNTO ATÍLIO ANDR,69077730.0
217,CENTRO UNIVERSITÁRIO LUTERANO DE PALMAS,CEULP,AELBRA EDUCACAO SUPERIOR - GRADUACAO E POS-GRADUACAO S.A.,Privada,5,2,CEULP - Centro Universitário Luterano de Palmas,s/n,Plano Diretor Sul,Avenida Joaquim Teot,77019900.0
218,FACULDADE CAMAQÜENSE DE CIÊNCIAS CONTÁBEIS E ADMINISTRATIVAS,FACCCA,FUNDACAO DE ENSINO SUPERIOR DA REGIAO CENTRO SUL,Privada,5,3,Av. Cônego Luiz Walter Hanquet,151,Centro,,96180000.0
219,CENTRO UNIVERSITÁRIO SANT¿ANNA,UNISANT'ANNA,INSTITUTO SANTANENSE DE ENSINO SUPERIOR,Privada,5,2,Rua Voluntários da Pátria,257,Santana,CAMPUS  - SÃO PAULO,2011000.0
220,UNIVERSIDADE ANHANGUERA DE SÃO PAULO,UNIAN - SP,ANHANGUERA EDUCACIONAL PARTICIPACOES S/A,Privada,4,1,Rua Afonso Celso,235,Vila Mariana,,4119901.0
221,UNIVERSIDADE IBIRAPUERA,UNIB,ASSOCIACAO DE ENSINO IMPERIUM,Privada,5,1,Avenida Interlagos,1.329,Jardim Marajoara,,4661100.0
222,FACULDADE ARMANDO ALVARES PENTEADO,FA-FAAP,FUNDACAO ARMANDO ALVARES PENTEADO,Privada,5,3,Rua Alagoas,903,HIGIENOPOLIS,PRÉDIO 01,1242902.0
223,UNIVERSIDADE ANHEMBI MORUMBI,UAM,ISCP - SOCIEDADE EDUCACIONAL LTDA.,Privada,4,1,Rua Líbero Badaró,487/501,Centro,,1009904.0
224,UNIVERSIDADE DO GRANDE RIO PROFESSOR JOSÉ DE SOUZA HERDY,UNIGRANRIO,COMPANHIA NILZA CORDEIRO HERDY DE EDUCACAO E CULTURA,Privada,4,1,Rua Professor José de Souza Herdy,1160,Jardim Vinte e Cinco de Agosto,POLO NA SEDE,25071202.0
225,"FACULDADE DE CIÊNCIAS ECONÔMICAS, ADMINISTRATIVAS E DA COMPUTAÇÃO DOM BOSCO",FCEACDB,ASSOCIACAO EDUCACIONAL DOM BOSCO,Privada,5,3,Avenida Professor Antonio Esteves,1,Morada da Colina,,27523000.0
226,FACULDADE DE FILOSOFIA CIÊNCIAS E LETRAS DOM BOSCO,FFCLDB,ASSOCIACAO EDUCACIONAL DOM BOSCO,Privada,5,3,Avenida Professor Antonio Esteves,1,Morada da Colina,,27523000.0
227,FACULDADE DE MEDICINA DE PETRÓPOLIS,FMP,FUNDACAO OCTACILIO GUALBERTO,Privada,5,3,Avenida Barão do Rio Branco,1003,Centro,,25680120.0
228,CENTRO UNIVERSITÁRIO SERRA DOS ÓRGÃOS,UNIFESO,FESO FUNDACAO EDUCACIONAL SERRA DOS ORGAOS,Privada,5,2,Avenida Alberto Torres,111,Alto,- até 491 - lado ímp,25964004.0
229,Universidade Universus Veritas Guarulhos,Univeritas UNG,SOCIEDADE PAULISTA DE ENSINO E PESQUISA S/S LTDA,Privada,5,1,Praça Tereza Cristina,88,Centro,Guarulhos Centro,7023070.0
230,UNIVERSIDADE DO EXTREMO SUL CATARINENSE,UNESC,FUNDACAO EDUCACIONAL DE CRICIUMA,Privada,5,1,Avenida Universitária,1105,UNIVERSITÁRIO,BLOCO ADMINISTRATIVO,88806000.0
231,CENTRO UNIVERSITÁRIO METROPOLITANO DE SÃO PAULO,UNIMESP,SOCIEDADE GUARULHENSE DE EDUCACAO,Privada,5,2,Rua Doutor Solon Fernandes,155,Vila Rosália - Guarulhos,Campus de Vila Rosal,7072080.0
232,CENTRO UNIVERSITÁRIO DE VOLTA REDONDA,UNIFOA,FUNDACAO OSWALDO ARANHA,Privada,5,2,Avenida Paulo Erlei Alves Abrantes,1325,Três Poços,,27240560.0
233,CENTRO UNIVERSITÁRIO DE VALENÇA,UNIFAA,FUNDACAO EDUCACIONAL D ANDRE ARCOVERDE,Privada,5,2,Rua Sargento Vitor Hugo,219,Fátima,,27600000.0
234,CENTRO UNIVERSITÁRIO DON DOMÊNICO,UNIDON,ASSOCIACAO AMPARO AOS PRAIANOS DO GUARUJA,Privada,5,2,Av. Dr. Arthur Costa Filho,20,Vila Maia,,11410080.0
235,FACULDADE DE ADMINISTRAÇÃO CIÊNCIAS ECON E CONTÁBEIS DE GUARATINGUETÁ,FACEAG,UNIESP S.A,Privada,5,3,Avenida Pedro de Toledo,195,Vila Paraíba,Pavimento Superior,12515690.0
236,FACULDADE DE EDUCAÇÃO DE GUARATINGUETÁ,FACEG,UNIESP S.A,Privada,5,3,AVENIDA PEDRO DE TOLEDO,195,VILA PARAÍBA,PAVIMENTO INFERIOR,12515690.0
237,UNIVERSIDADE DO SUL DE SANTA CATARINA,UNISUL,FUNDACAO UNIVERSIDADE DO SUL DE SANTA CATARINA-UNISUL,Privada,5,1,"Av. José Acácio Moreira, 787, Dehon.",787,Dehon,Campus Universitário,88704900.0
238,FACULDADE DE CIÊNCIAS E LETRAS DE BRAGANÇA PAULISTA,FESB,FUNDACAO MUNICIPAL DE ENSINO SUPERIOR BRAGANCA PAULISTA,Pública,3,3,Avenida Francisco Samuel Lucche Filho,770,Penha,,12929600.0
239,UNIVERSIDADE DE FRANCA,UNIFRAN,ACEF S/A.,Privada,4,1,Avenida Doutor Armando Sales Oliveira,201,Parque Universitário,,14404600.0
240,ESCOLA SUPERIOR DE CIÊNCIAS DA SANTA CASA DE MISERICÓRDIA DE VITÓRIA,EMESCAM,IRMANDADE DA SANTA CASA DE MISERICORDIA DE VITORIA,Privada,5,3,AVENIDA NOSSA SENHORA DA PENHA,2190,SANTA LUIZA,,29045402.0
241,CENTRO UNIVERSITÁRIO SÃO JUDAS TADEU,CSJT,INSTITUTO DE EDUCACAO E CULTURA UNIMONTE S/A,Privada,4,2,Avenida Rangel Pestana,99,Vila Mathias,CAMPUS UNIMONTE,11013551.0
242,FACULDADE DE MEDICINA DE CAMPOS,FMC,FUNDACAO BENEDITO PEREIRA NUNES,Privada,5,3,Avenida Doutor Alberto Torres,217,CENTRO,TÉRREO,28035580.0
243,Faculdade Mais de Ituiutaba,FacMais,CENTRO DE EDUCACAO SUPERIOR DE INHUMAS EIRELI,Privada,5,3,Avenida Geraldo Alves Tavares,1980,Universitário,,38302134.0
244,FACULDADE DE CIÊNCIAS SOCIAIS APLICADAS DO SUL DE MINAS - FACESM,FACESM,CENTRO REGIONAL DE CULTURA,Privada,5,3,Avenida Presidente Tancredo de Almeida Neves,45,São Judas Tadeu,,37504066.0
245,FACULDADE WENCESLAU BRAZ,,"ASSOCIACAO DE EDUCACAO, SAUDE E CULTURA - AESC",Privada,5,3,Avenida Cesário Alvim,566,Centro,,37501059.0
246,UNIVERSIDADE VALE DO RIO DOCE,UNIVALE,FUNDACAO PERCIVAL FARQUHAR,Privada,5,1,Rua Israel Pinheiro,2000,Universitário,Campus Antônio Rodri,35020220.0
247,CENTRO UNIVERSITÁRIO DE BARRA MANSA,UBM,SOBEU - ASSOCIACAO BARRAMANSENSE DE ENSINO,Privada,5,2,Rua Vereador Pinho de Carvalho,267,Centro,,27330550.0
248,CENTRO UNIVERSITÁRIO ANHANGUERA DE NITERÓI,UNIAN-RJ,ANHANGUERA EDUCACIONAL PARTICIPACOES S/A,Privada,4,2,Rua Visconde do Rio Branco,123,Centro,,24020000.0
249,CENTRO UNIVERSITÁRIO DO RIO DE JANEIRO,UNIRJ,UNIESP S.A,Privada,5,2,Rua Engenheiro Trindade,229,Campo Grande,,23050290.0
250,FACULDADE DE EDUCAÇÃO SÃO LUÍS,FESL,ASSOCIACAO JABOTICABALENSE DE EDUCACAO E CULTURA,Privada,5,3,Rua Floriano Peixoto,839/873,Centro,- até 969/970,14870370.0
251,CENTRO UNIVERSITÁRIO DO DISTRITO FEDERAL,UDF,CENTRO DE ENSINO UNIFICADO DO DISTRITO FEDERAL LTDA,Privada,4,2,SEP - SUL EQ 704 / 904 Conjunto A,S/N,Asa Sul,Conjunto A,70390045.0
